product_id,product_name,product_category,times_ordered,total_quantity_sold,total_revenue,avg_selling_price
2377,Product_2377,APPLIANCES,55,137,8701715.00,62932.145455
221,Product_221,FURNITURE,56,140,8513569.00,60094.750000
2092,Product_2092,FURNITURE,55,149,8511001.00,56018.854545
3393,Product_3393,ELECTRONICS,59,151,8430826.00,53432.576271
2192,Product_2192,CLOTHING,51,134,8385230.00,60404.627451
864,Product_864,APPLIANCES,59,148,8212663.00,55590.271186
246,Product_246,ELECTRONICS,48,140,8129151.00,55545.625000
1500,Product_1500,CLOTHING,58,142,8075892.00,56962.137931
1037,Product_1037,ELECTRONICS,54,147,8047418.00,55465.277778
781,Product_781,ELECTRONICS,62,141,8006879.00,55490.532258
2670,Product_2670,APPLIANCES,56,143,7980444.00,53856.535714
2316,Product_2316,FURNITURE,53,144,7976980.00,52758.716981
138,Product_138,FURNITURE,52,129,7953745.00,60488.903846
2938,Product_2938,FURNITURE,55,145,7937216.00,53058.272727
4128,Product_4128,CLOTHING,49,141,7928982.00,56616.918367
2643,Product_2643,CLOTHING,51,135,7928575.00,56780.529412
3174,Product_3174,FURNITURE,54,147,7862419.00,53553.500000
4890,Product_4890,FURNITURE,54,138,7817754.00,59407.592593
4420,Product_4420,APPLIANCES,51,131,7798861.00,57228.215686
2334,Product_2334,ELECTRONICS,50,136,7795981.00,56700.780000
1764,Product_1764,CLOTHING,61,144,7794582.00,53339.360656
777,Product_777,CLOTHING,54,134,7774886.00,58074.888889
2516,Product_2516,APPLIANCES,56,139,7764180.00,53009.839286
2774,Product_2774,APPLIANCES,50,129,7721973.00,57569.840000
1824,Product_1824,APPLIANCES,55,139,7703266.00,54309.400000
1186,Product_1186,APPLIANCES,56,148,7702291.00,52476.250000
3895,Product_3895,FURNITURE,54,132,7689886.00,56754.666667
2661,Product_2661,APPLIANCES,56,142,7686569.00,52754.357143
1096,Product_1096,FURNITURE,60,149,7663040.00,48672.650000
4724,Product_4724,CLOTHING,55,151,7652523.00,47214.200000
1959,Product_1959,FURNITURE,53,144,7613401.00,52112.150943
2108,Product_2108,ELECTRONICS,63,143,7611978.00,52327.507937
4153,Product_4153,ELECTRONICS,55,146,7577930.00,50446.472727
2173,Product_2173,APPLIANCES,47,137,7561598.00,54681.446809
488,Product_488,CLOTHING,57,144,7561549.00,52920.929825
3350,Product_3350,CLOTHING,58,158,7560054.00,48414.586207
1702,Product_1702,ELECTRONICS,48,142,7556436.00,53162.708333
1919,Product_1919,CLOTHING,48,125,7548116.00,60934.104167
3865,Product_3865,CLOTHING,41,113,7542821.00,64503.853659
3402,Product_3402,ELECTRONICS,45,131,7533662.00,55900.622222
4215,Product_4215,FURNITURE,52,128,7525779.00,58688.769231
3986,Product_3986,FURNITURE,55,153,7522707.00,49850.581818
43,Product_43,ELECTRONICS,47,126,7512413.00,56910.212766
426,Product_426,FURNITURE,51,132,7502923.00,57613.431373
109,Product_109,CLOTHING,50,124,7494097.00,55834.620000
4990,Product_4990,CLOTHING,55,134,7493937.00,55386.836364
4352,Product_4352,ELECTRONICS,46,121,7488463.00,57720.065217
1560,Product_1560,CLOTHING,49,123,7487136.00,59952.795918
3583,Product_3583,ELECTRONICS,55,138,7486893.00,53662.054545
3550,Product_3550,FURNITURE,53,133,7480954.00,57215.622642
2674,Product_2674,ELECTRONICS,56,144,7476244.00,53167.928571
1185,Product_1185,CLOTHING,57,152,7472706.00,50953.859649
2031,Product_2031,FURNITURE,56,149,7469365.00,49326.964286
2885,Product_2885,CLOTHING,54,140,7466443.00,52312.000000
3170,Product_3170,CLOTHING,46,135,7462660.00,55419.217391
968,Product_968,CLOTHING,55,139,7461076.00,53880.272727
3806,Product_3806,APPLIANCES,53,132,7452010.00,60238.886792
115,Product_115,CLOTHING,56,136,7448238.00,54342.392857
4060,Product_4060,FURNITURE,51,134,7445561.00,55460.960784
