customer_id,name,city,state,signup_date,created_at,updated_at
1,Customer_1,Kolkata,DL,2023-07-08,2023-06-21 02:01:26,2023-06-21 02:01:26
2,Customer_2,Pune,KA,2023-06-22,2023-09-22 14:33:49,2023-09-22 14:33:49
3,Customer_3,Hyderabad,TS,2023-08-11,2023-12-06 00:26:49,2023-12-06 00:26:49
4,Customer_4,Kolkata,MH,2023-02-07,2023-06-18 15:47:12,2023-06-18 15:47:12
5,Customer_5,Bangalore,TS,2023-01-02,2023-12-01 00:09:43,2023-12-01 00:09:43
6,Customer_6,Hyderabad,KA,2023-08-12,2023-08-23 03:36:10,2023-08-23 03:36:10
7,Customer_7,Hyderabad,MH,2023-02-28,2023-06-17 12:41:09,2023-06-17 12:41:09
8,Customer_8,Kolkata,TN,2023-03-16,2023-02-27 09:23:29,2023-02-27 09:23:29
9,Customer_9,Delhi,MH,2023-05-13,2023-08-16 16:41:40,2023-08-16 16:41:40
10,Customer_10,Bangalore,MH,2023-12-28,2023-03-20 04:52:10,2023-03-20 04:52:10
11,Customer_11,Kolkata,MH,2023-08-09,2023-05-31 15:52:07,2023-05-31 15:52:07
12,Customer_12,Bangalore,WB,2023-07-31,2023-03-10 19:33:14,2023-03-10 19:33:14
13,Customer_13,Bangalore,KA,2023-05-28,2023-02-03 12:55:49,2023-02-03 12:55:49
14,Customer_14,Hyderabad,TN,2023-03-23,2023-06-01 10:18:02,2023-06-01 10:18:02
15,Customer_15,Pune,TS,2023-07-04,2023-03-13 14:54:25,2023-03-13 14:54:25
16,Customer_16,Bangalore,MH,2023-12-03,2023-01-08 20:27:14,2023-01-08 20:27:14
17,Customer_17,Chennai,WB,2023-03-09,2023-12-28 23:40:08,2023-12-28 23:40:08
18,Customer_18,Hyderabad,DL,2023-10-02,2023-04-30 01:24:12,2023-04-30 01:24:12
19,Customer_19,Delhi,TS,2023-09-06,2023-03-31 12:20:17,2023-03-31 12:20:17
20,Customer_20,Pune,TN,2023-09-10,2023-08-23 12:43:43,2023-08-23 12:43:43
21,Customer_21,Chennai,MH,2023-03-28,2023-10-17 10:42:30,2023-10-17 10:42:30
22,Customer_22,Chennai,TS,2023-10-10,2023-06-29 07:43:16,2023-06-29 07:43:16
23,Customer_23,Delhi,KA,2023-04-26,2023-12-13 14:53:47,2023-12-13 14:53:47
24,Customer_24,Pune,WB,2023-06-19,2023-07-26 16:33:30,2023-07-26 16:33:30
25,Customer_25,Hyderabad,KA,2023-09-09,2023-12-04 18:36:01,2023-12-04 18:36:01
26,Customer_26,Mumbai,MH,2023-10-28,2023-05-08 14:32:03,2023-05-08 14:32:03
27,Customer_27,Pune,MH,2023-11-30,2023-06-25 01:16:21,2023-06-25 01:16:21
28,Customer_28,Delhi,MH,2023-11-20,2023-01-09 21:16:34,2023-01-09 21:16:34
29,Customer_29,Chennai,WB,2023-07-15,2023-05-24 11:38:03,2023-05-24 11:38:03
30,Customer_30,Hyderabad,WB,2023-12-09,2023-04-25 04:28:08,2023-04-25 04:28:08
31,Customer_31,Pune,KA,2023-02-05,2023-10-08 17:13:54,2023-10-08 17:13:54
32,Customer_32,Mumbai,TN,2023-08-18,2023-08-03 16:46:24,2023-08-03 16:46:24
33,Customer_33,Mumbai,WB,2023-05-13,2023-12-17 11:29:04,2023-12-17 11:29:04
34,Customer_34,Bangalore,TN,2023-10-10,2023-10-27 14:13:46,2023-10-27 14:13:46
35,Customer_35,Bangalore,WB,2023-06-14,2023-07-30 03:59:54,2023-07-30 03:59:54
36,Customer_36,Kolkata,TS,2023-01-27,2023-07-19 23:27:05,2023-07-19 23:27:05
37,Customer_37,Delhi,MH,2023-04-05,2023-04-12 01:39:01,2023-04-12 01:39:01
38,Customer_38,Pune,MH,2023-11-28,2023-02-10 21:14:49,2023-02-10 21:14:49
39,Customer_39,Pune,DL,2023-06-24,2023-09-30 06:29:51,2023-09-30 06:29:51
40,Customer_40,Kolkata,KA,2023-03-17,2023-05-05 23:35:17,2023-05-05 23:35:17
41,Customer_41,Chennai,MH,2023-05-08,2023-10-02 20:28:04,2023-10-02 20:28:04
42,Customer_42,Chennai,TN,2023-09-03,2023-11-13 01:00:01,2023-11-13 01:00:01
43,Customer_43,Kolkata,WB,2023-10-05,2023-01-11 15:43:00,2023-01-11 15:43:00
44,Customer_44,Chennai,TS,2023-07-02,2023-05-10 20:27:25,2023-05-10 20:27:25
45,Customer_45,Bangalore,TN,2023-11-27,2023-01-05 13:47:01,2023-01-05 13:47:01
46,Customer_46,Pune,KA,2023-12-26,2023-09-04 14:48:45,2023-09-04 14:48:45
47,Customer_47,Kolkata,DL,2023-02-21,2023-11-16 11:20:15,2023-11-16 11:20:15
48,Customer_48,Pune,TN,2023-12-25,2023-01-17 06:22:23,2023-01-17 06:22:23
49,Customer_49,Mumbai,MH,2023-04-12,2023-12-23 12:00:04,2023-12-23 12:00:04
50,Customer_50,Bangalore,TS,2023-09-13,2023-07-08 05:30:27,2023-07-08 05:30:27
51,Customer_51,Hyderabad,MH,2023-03-18,2023-03-20 23:27:23,2023-03-20 23:27:23
52,Customer_52,Bangalore,TS,2023-09-19,2023-03-28 10:55:23,2023-03-28 10:55:23
53,Customer_53,Kolkata,MH,2023-11-06,2023-07-01 06:10:36,2023-07-01 06:10:36
54,Customer_54,Hyderabad,TS,2023-01-02,2023-10-26 20:32:33,2023-10-26 20:32:33
55,Customer_55,Mumbai,WB,2023-07-22,2023-03-23 09:19:49,2023-03-23 09:19:49
56,Customer_56,Kolkata,MH,2023-11-24,2023-06-14 05:01:27,2023-06-14 05:01:27
57,Customer_57,Delhi,KA,2023-06-07,2023-07-14 01:45:51,2023-07-14 01:45:51
58,Customer_58,Pune,MH,2023-12-13,2023-10-17 09:01:08,2023-10-17 09:01:08
59,Customer_59,Mumbai,TS,2023-05-08,2023-08-04 06:42:34,2023-08-04 06:42:34
60,Customer_60,Pune,TS,2023-05-12,2023-07-13 06:30:03,2023-07-13 06:30:03
61,Customer_61,Chennai,DL,2023-12-10,2023-03-13 17:57:21,2023-03-13 17:57:21
62,Customer_62,Delhi,MH,2023-12-18,2023-04-19 04:18:29,2023-04-19 04:18:29
63,Customer_63,Delhi,KA,2023-02-11,2023-08-23 09:12:49,2023-08-23 09:12:49
64,Customer_64,Mumbai,MH,2023-12-21,2023-07-20 23:31:40,2023-07-20 23:31:40
65,Customer_65,Delhi,KA,2023-06-19,2023-01-30 22:16:55,2023-01-30 22:16:55
66,Customer_66,Hyderabad,DL,2023-11-03,2023-11-12 00:40:39,2023-11-12 00:40:39
