product_id,product_name,category,price,created_at,updated_at,processed_at
1,Product_1,APPLIANCES,94807.00,2023-07-18 01:30:58,2023-07-18 01:30:58,2026-04-03 04:33:52.517342
2,Product_2,APPLIANCES,27258.00,2023-05-08 13:28:43,2023-05-08 13:28:43,2026-04-03 04:33:52.517342
3,Product_3,APPLIANCES,82278.00,2023-09-12 04:17:46,2023-09-12 04:17:46,2026-04-03 04:33:52.517342
4,Product_4,FURNITURE,18986.00,2023-08-18 01:39:32,2023-08-18 01:39:32,2026-04-03 04:33:52.517342
5,Product_5,APPLIANCES,52640.00,2023-10-12 23:27:19,2023-10-12 23:27:19,2026-04-03 04:33:52.517342
6,Product_6,CLOTHING,8578.00,2023-04-21 19:27:09,2023-04-21 19:27:09,2026-04-03 04:33:52.517342
7,Product_7,APPLIANCES,26150.00,2023-12-28 09:59:37,2023-12-28 09:59:37,2026-04-03 04:33:52.517342
8,Product_8,FURNITURE,53958.00,2023-09-27 04:54:37,2023-09-27 04:54:37,2026-04-03 04:33:52.517342
9,Product_9,APPLIANCES,8981.00,2023-01-30 07:09:54,2023-01-30 07:09:54,2026-04-03 04:33:52.517342
10,Product_10,ELECTRONICS,14319.00,2023-09-19 17:39:37,2023-09-19 17:39:37,2026-04-03 04:33:52.517342
11,Product_11,FURNITURE,78234.00,2023-02-16 04:43:19,2023-02-16 04:43:19,2026-04-03 04:33:52.517342
12,Product_12,CLOTHING,85159.00,2023-09-28 03:06:51,2023-09-28 03:06:51,2026-04-03 04:33:52.517342
13,Product_13,FURNITURE,31224.00,2023-05-06 12:43:51,2023-05-06 12:43:51,2026-04-03 04:33:52.517342
14,Product_14,CLOTHING,54310.00,2023-01-01 05:05:15,2023-01-01 05:05:15,2026-04-03 04:33:52.517342
15,Product_15,CLOTHING,47304.00,2023-03-11 15:45:37,2023-03-11 15:45:37,2026-04-03 04:33:52.517342
16,Product_16,FURNITURE,33644.00,2023-05-27 08:52:15,2023-05-27 08:52:15,2026-04-03 04:33:52.517342
17,Product_17,FURNITURE,36058.00,2023-05-13 02:40:34,2023-05-13 02:40:34,2026-04-03 04:33:52.517342
18,Product_18,CLOTHING,87580.00,2023-11-13 19:25:14,2023-11-13 19:25:14,2026-04-03 04:33:52.517342
19,Product_19,APPLIANCES,15888.00,2023-02-02 11:55:30,2023-02-02 11:55:30,2026-04-03 04:33:52.517342
20,Product_20,FURNITURE,10966.00,2023-08-28 06:34:57,2023-08-28 06:34:57,2026-04-03 04:33:52.517342
21,Product_21,ELECTRONICS,47434.00,2023-06-25 22:55:46,2023-06-25 22:55:46,2026-04-03 04:33:52.517342
22,Product_22,CLOTHING,5382.00,2023-01-15 23:59:26,2023-01-15 23:59:26,2026-04-03 04:33:52.517342
23,Product_23,FURNITURE,66985.00,2023-09-02 16:42:38,2023-09-02 16:42:38,2026-04-03 04:33:52.517342
24,Product_24,FURNITURE,24000.00,2023-10-28 11:51:30,2023-10-28 11:51:30,2026-04-03 04:33:52.517342
25,Product_25,APPLIANCES,36654.00,2023-06-13 15:23:27,2023-06-13 15:23:27,2026-04-03 04:33:52.517342
26,Product_26,CLOTHING,17867.00,2023-03-21 08:34:27,2023-03-21 08:34:27,2026-04-03 04:33:52.517342
27,Product_27,CLOTHING,17192.00,2023-12-01 07:20:11,2023-12-01 07:20:11,2026-04-03 04:33:52.517342
28,Product_28,FURNITURE,86920.00,2023-10-30 17:11:16,2023-10-30 17:11:16,2026-04-03 04:33:52.517342
29,Product_29,FURNITURE,36470.00,2023-06-03 08:53:49,2023-06-03 08:53:49,2026-04-03 04:33:52.517342
30,Product_30,ELECTRONICS,83705.00,2023-03-05 17:06:04,2023-03-05 17:06:04,2026-04-03 04:33:52.517342
31,Product_31,FURNITURE,93956.00,2023-06-09 06:34:06,2023-06-09 06:34:06,2026-04-03 04:33:52.517342
32,Product_32,FURNITURE,61121.00,2023-03-08 13:35:41,2023-03-08 13:35:41,2026-04-03 04:33:52.517342
33,Product_33,ELECTRONICS,1192.00,2023-06-18 21:05:11,2023-06-18 21:05:11,2026-04-03 04:33:52.517342
34,Product_34,APPLIANCES,86588.00,2023-06-02 01:16:49,2023-06-02 01:16:49,2026-04-03 04:33:52.517342
35,Product_35,APPLIANCES,83694.00,2023-10-03 11:25:13,2023-10-03 11:25:13,2026-04-03 04:33:52.517342
36,Product_36,APPLIANCES,85014.00,2023-11-20 18:20:54,2023-11-20 18:20:54,2026-04-03 04:33:52.517342
37,Product_37,CLOTHING,16828.00,2023-03-09 00:53:41,2023-03-09 00:53:41,2026-04-03 04:33:52.517342
38,Product_38,ELECTRONICS,38689.00,2023-12-17 18:37:43,2023-12-17 18:37:43,2026-04-03 04:33:52.517342
39,Product_39,CLOTHING,20407.00,2023-09-15 02:38:23,2023-09-15 02:38:23,2026-04-03 04:33:52.517342
40,Product_40,ELECTRONICS,81596.00,2023-07-05 18:45:12,2023-07-05 18:45:12,2026-04-03 04:33:52.517342
41,Product_41,FURNITURE,57644.00,2023-09-24 13:33:25,2023-09-24 13:33:25,2026-04-03 04:33:52.517342
42,Product_42,APPLIANCES,90252.00,2023-06-16 10:05:21,2023-06-16 10:05:21,2026-04-03 04:33:52.517342
43,Product_43,ELECTRONICS,17359.00,2023-10-23 06:26:09,2023-10-23 06:26:09,2026-04-03 04:33:52.517342
44,Product_44,APPLIANCES,12852.00,2023-08-31 03:36:08,2023-08-31 03:36:08,2026-04-03 04:33:52.517342
45,Product_45,APPLIANCES,25468.00,2023-12-07 02:15:13,2023-12-07 02:15:13,2026-04-03 04:33:52.517342
46,Product_46,CLOTHING,13593.00,2023-07-15 23:10:42,2023-07-15 23:10:42,2026-04-03 04:33:52.517342
47,Product_47,CLOTHING,49937.00,2023-12-02 01:41:42,2023-12-02 01:41:42,2026-04-03 04:33:52.517342
48,Product_48,CLOTHING,73395.00,2023-10-04 21:18:15,2023-10-04 21:18:15,2026-04-03 04:33:52.517342
